Task,Metric,Value,Stderr
all,acc,0.2432,0.0427
lighteval:mmlu_redux_2:abstract_algebra:0,pass@k_with_k,0.0353,0.016
lighteval:mmlu_redux_2:anatomy:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:astronomy:0,pass@k_with_k,0.0,0.0
lighteval:mmlu_redux_2:business_ethics:0,acc,0.31,0.0465
lighteval:mmlu_redux_2:clinical_knowledge:0,acc,0.3,0.0461
lighteval:mmlu_redux_2:college_biology:0,acc,0.24,0.0429
lighteval:mmlu_redux_2:college_chemistry:0,acc,0.21,0.0409
lighteval:mmlu_redux_2:college_computer_science:0,acc,0.23,0.0411
lighteval:mmlu_redux_2:college_mathematics:0,acc,0.26,0.0441
lighteval:mmlu_redux_2:college_medicine:0,acc,0.19,0.0394
lighteval:mmlu_redux_2:college_physics:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:computer_security:0,acc,0.29,0.0456
lighteval:mmlu_redux_2:conceptual_physics:0,acc,0.27,0.0446
lighteval:mmlu_redux_2:econometrics:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:electrical_engineering:0,acc,0.23,0.0423
lighteval:mmlu_redux_2:elementary_mathematics:0,acc,0.2,0.0402
lighteval:mmlu_redux_2:formal_logic:0,acc,0.27,0.0446
lighteval:mmlu_redux_2:global_facts:0,acc,0.18,0.0386
lighteval:mmlu_redux_2:high_school_biology:0,acc,0.21,0.0411
lighteval:mmlu_redux_2:high_school_chemistry:0,acc,0.21,0.0411
lighteval:mmlu_redux_2:high_school_computer_science:0,acc,0.26,0.0441
lighteval:mmlu_redux_2:high_school_european_history:0,acc,0.26,0.0441
lighteval:mmlu_redux_2:high_school_geography:0,acc,0.24,0.0429
lighteval:mmlu_redux_2:high_school_government_and_politics:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:high_school_macroeconomics:0,acc,0.24,0.0429
lighteval:mmlu_redux_2:high_school_mathematics:0,acc,0.17,0.0378
lighteval:mmlu_redux_2:high_school_microeconomics:0,acc,0.26,0.0441
lighteval:mmlu_redux_2:high_school_physics:0,acc,0.23,0.0423
lighteval:mmlu_redux_2:high_school_psychology:0,acc,0.26,0.0441
lighteval:mmlu_redux_2:high_school_statistics:0,acc,0.14,0.0349
lighteval:mmlu_redux_2:high_school_us_history:0,acc,0.32,0.0469
lighteval:mmlu_redux_2:high_school_world_history:0,acc,0.3,0.0461
lighteval:mmlu_redux_2:human_aging:0,acc,0.2,0.0402
lighteval:mmlu_redux_2:human_sexuality:0,acc,0.25,0.0435
lighteval:mmlu_redux_2:international_law:0,acc,0.21,0.0411
lighteval:mmlu_redux_2:jurisprudence:0,acc,0.3,0.0461
lighteval:mmlu_redux_2:logical_fallacies:0,acc,0.21,0.0411
lighteval:mmlu_redux_2:machine_learning:0,acc,0.32,0.0469
lighteval:mmlu_redux_2:management:0,acc,0.31,0.0465
lighteval:mmlu_redux_2:marketing:0,acc,0.35,0.0479
lighteval:mmlu_redux_2:medical_genetics:0,acc,0.31,0.0465
lighteval:mmlu_redux_2:miscellaneous:0,acc,0.35,0.0479
lighteval:mmlu_redux_2:moral_disputes:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:moral_scenarios:0,acc,0.19,0.0394
lighteval:mmlu_redux_2:nutrition:0,acc,0.22,0.0416
lighteval:mmlu_redux_2:philosophy:0,acc,0.18,0.0386
lighteval:mmlu_redux_2:prehistory:0,acc,0.25,0.0435
lighteval:mmlu_redux_2:professional_accounting:0,acc,0.06,0.0239
lighteval:mmlu_redux_2:professional_law:0,acc,0.17,0.0378
lighteval:mmlu_redux_2:professional_medicine:0,acc,0.28,0.0451
lighteval:mmlu_redux_2:professional_psychology:0,acc,0.16,0.0368
lighteval:mmlu_redux_2:public_relations:0,acc,0.24,0.0429
lighteval:mmlu_redux_2:security_studies:0,acc,0.23,0.0423
lighteval:mmlu_redux_2:sociology:0,acc,0.32,0.0469
lighteval:mmlu_redux_2:us_foreign_policy:0,acc,0.3,0.0461
lighteval:mmlu_redux_2:virology:0,acc,0.33,0.0473
lighteval:mmlu_redux_2:world_religions:0,acc,0.33,0.0473
