Task,Metric,Value
all,pass@k_with_k,0.3286
all,acc,0.6404
abstract_algebra,pass@k_with_k,0.03
abstract_algebra,acc,0.37
anatomy,pass@k_with_k,0.29
anatomy,acc,0.58
astronomy,pass@k_with_k,0.46
astronomy,acc,0.66
business_ethics,pass@k_with_k,0.44
business_ethics,acc,0.72
clinical_knowledge,pass@k_with_k,0.34
clinical_knowledge,acc,0.66
college_biology,pass@k_with_k,0.24
college_biology,acc,0.69
college_chemistry,pass@k_with_k,0.1
college_chemistry,acc,0.45
college_computer_science,pass@k_with_k,0.14
college_computer_science,acc,0.51
college_mathematics,pass@k_with_k,0.01
college_mathematics,acc,0.33
college_medicine,pass@k_with_k,0.26
college_medicine,acc,0.71
college_physics,pass@k_with_k,0.05
college_physics,acc,0.47
computer_security,pass@k_with_k,0.55
computer_security,acc,0.72
conceptual_physics,pass@k_with_k,0.38
conceptual_physics,acc,0.55
econometrics,pass@k_with_k,0.19
econometrics,acc,0.52
electrical_engineering,pass@k_with_k,0.21
electrical_engineering,acc,0.59
elementary_mathematics,pass@k_with_k,0.03
elementary_mathematics,acc,0.47
formal_logic,pass@k_with_k,0.05
formal_logic,acc,0.45
global_facts,pass@k_with_k,0.04
global_facts,acc,0.42
high_school_biology,pass@k_with_k,0.34
high_school_biology,acc,0.75
high_school_chemistry,pass@k_with_k,0.15
high_school_chemistry,acc,0.57
high_school_computer_science,pass@k_with_k,0.38
high_school_computer_science,acc,0.69
high_school_european_history,pass@k_with_k,0.2
high_school_european_history,acc,0.76
high_school_geography,pass@k_with_k,0.37
high_school_geography,acc,0.71
high_school_government_and_politics,pass@k_with_k,0.37
high_school_government_and_politics,acc,0.79
high_school_macroeconomics,pass@k_with_k,0.25
high_school_macroeconomics,acc,0.57
high_school_mathematics,pass@k_with_k,0.01
high_school_mathematics,acc,0.34
high_school_microeconomics,pass@k_with_k,0.4
high_school_microeconomics,acc,0.82
high_school_physics,pass@k_with_k,0.07
high_school_physics,acc,0.44
high_school_psychology,pass@k_with_k,0.46
high_school_psychology,acc,0.8
high_school_statistics,pass@k_with_k,0.21
high_school_statistics,acc,0.55
high_school_us_history,pass@k_with_k,0.12
high_school_us_history,acc,0.78
high_school_world_history,pass@k_with_k,0.19
high_school_world_history,acc,0.83
human_aging,pass@k_with_k,0.51
human_aging,acc,0.66
human_sexuality,pass@k_with_k,0.53
human_sexuality,acc,0.75
international_law,pass@k_with_k,0.4
international_law,acc,0.75
jurisprudence,pass@k_with_k,0.47
jurisprudence,acc,0.78
logical_fallacies,pass@k_with_k,0.74
logical_fallacies,acc,0.85
machine_learning,pass@k_with_k,0.25
machine_learning,acc,0.48
management,pass@k_with_k,0.5
management,acc,0.77
marketing,pass@k_with_k,0.83
marketing,acc,0.89
medical_genetics,pass@k_with_k,0.38
medical_genetics,acc,0.71
miscellaneous,pass@k_with_k,0.59
miscellaneous,acc,0.84
moral_disputes,pass@k_with_k,0.53
moral_disputes,acc,0.62
moral_scenarios,pass@k_with_k,0.35
moral_scenarios,acc,0.35
nutrition,pass@k_with_k,0.46
nutrition,acc,0.73
philosophy,pass@k_with_k,0.38
philosophy,acc,0.65
prehistory,pass@k_with_k,0.49
prehistory,acc,0.76
professional_accounting,pass@k_with_k,0.21
professional_accounting,acc,0.48
professional_law,pass@k_with_k,0.31
professional_law,acc,0.43
professional_medicine,pass@k_with_k,0.07
professional_medicine,acc,0.66
professional_psychology,pass@k_with_k,0.46
professional_psychology,acc,0.71
public_relations,pass@k_with_k,0.53
public_relations,acc,0.7
security_studies,pass@k_with_k,0.44
security_studies,acc,0.69
sociology,pass@k_with_k,0.52
sociology,acc,0.86
us_foreign_policy,pass@k_with_k,0.63
us_foreign_policy,acc,0.81
virology,pass@k_with_k,0.31
virology,acc,0.49
world_religions,pass@k_with_k,0.51
world_religions,acc,0.81
